biker_id,tour_id
HD8324703,ST564349 QV2332756 SX55652876 SP84875554 VV7664881 SV77852886 SX825896 RS88719133 QW10669663 VW7713566
CA56169186,RT42660214 RT18142030 RP73609284 QR03717384 RQ49464820 RP07279414
BF15805774,WU3115138 RT22059390 SU83375355 UX5602638 SX35329221 RS8236954
CC1442949,QV00413013 QS90707377 RU29072432 YU5398943 QU32377761 RV4366149 YX6099040 QP44854627 TR6902061 TQ14638129 RR52007144 QP33318499 SV06182932
BA13594520,YU5398943 QS70244570 YW217712 SU54433899 QY26015481 SQ83605169
JJ9268198,SV4572656 RW94260340 WQ1904904 VY1970985 RT15873572 QP64885201
DI25327054,RS97682512 SS26446571 QV57604679 SU33630764
DI82784583,SS07793700 SP70286690 QW12704788 RP44667813 TP45413981 SU24326927
DG01181201,QP68825763 QS59710437 QR80177873 SU3933726 QW95371268 XT3570927 WS2997628 QQ33385189 QT3408758 RT15873572
EA78937413,QS42847040 QV82999037 SP40691375 VY5330828 SS17052947 VW648066
DF50832930,YU2519340 QP76364848 SX49306291 RV8233790 QR69035551 RP07279414
BD50285710,SP66321838 SV39467255 QU95241082 UR4691289 QX24709964 QP41499194 TR67881656 RQ45223158 QV60874393
BB50230846,SR16854901 RX95178379 RW40996837 SY51957899 VP3768826 QV45204489 QR94755971 SV3096366 SY14593969
DD17432819,RU57676844 VY6974056 SS44451900 ST79915003 SV74045729 RQ46934064
BG41930443,RR1202458 SY19284079 TV687083 TR54456631
DG15297413,UU9618821 SQ04408471 RX06565970 SS85455424 SX02505698 RS4197631
IE0865386,SQ26631984 SW8308819 RY98372996 QY73916091 QR97375856 SU31332626 VQ6825218 UT6889678 SR59486668 ST08530820 VR3791878
DD50877536,XR1546192 QU60093320 QS95068547 RP65683170 QT42934258 QR80644689 QW91598205 SY17524398 SQ56836239 RY73911742
GJ3535188,YU2519340 QY02753965 QR03717384 RQ49464820 SS09338938 RP07279414
DD93069828,RS6468864 QS70289455 RR32765899 QY40265937 RP07279414 QQ16957623
BF39795814,QV00413013 YU5398943 SY81414613 SQ45143643 RR17633473 QW47078058
CC3726744,US377121 TP14751562 TP24909366 SR4581869 SS88406764 SU70065282
BG96361679,UX2672945 WQ9337372 QR05670273 RV26540872 SY29507420 RW28427768 YW4347338 UV3395736 TR52287704 TY6131340 QY07550340
DC70633490,TR44463632 VW3098017 QR72961219 QR69035551 SS09338938 RP07279414
BF55282107,RS11572043 QR38591141 RQ98931282 ST88779034 VR7338344 RX44691787
BI27991074,RV43833505 YP7302600 RQ30616732 VS3659090 SV4721213 QP81122807
CC09002289,RP20022404 RT53241445 QV04324184 SY2166594 TX3236510 SX9805714 SY46862286 QQ88805929 QU24561927 QX33196462 SP2720508 SS15662669 QV78019857 RV25684328 TQ330505
CE99645933,YX4533875 ST80624055 QQ73584072 QT39955445 YR0638337 SU81275802
IA2688704,RS5476646 XP4619862 SR06828033 SU20307709 RV70583521 WR0575893
BE87498370,QQ49588581 RU05330132 QQ02483880 QR63459475 QR2777568 RU9138075
GE8889363,QR05670273 WQ9337372 SV10629096 QT21349430 RR24313777 SR54991059
DA63570853,RT18142030 SX49306291 QQ51525474 QR03717384 QR69035551 RP07279414
FH2449222,QT27376534 QV95480317 QQ33385189 RV33697384
CI85761776,QQ1865818 QP66010345 ST07521586 QQ93557066 QS48764141 SV76123091 QX690082 QV3992226 QW32452113 SS35311287 SP17798619 VX6023870
BA72640827,RV93999668 QV28506913 XV549210 TP61182012 QY91249255 RT61534851
JG920130,TU0130761 QR41270051 QW76393554 RV28680570 RT29675854 VQ5488222
FA521271,SR11023626 QU70912780 QP70478164 QV67438718 YX2322965 QY27775201
BD36647234,TQ56683850 WY7638314 YU5398943 RV43833505 RQ30616732 QV41873670 QW73230862 QQ84964740 QU70314869 RX2265232 QY35315082 VY2075109 QY27168893 RV91609942 QV36407015
HA0438783,YU2519340 QP76364848 SQ03100779 SW76957253 QR03717384 RQ49464820 SX49306291 RV8233790 VW3098017 QR69035551 RP07279414
BA60099431,QX53435067 SW12070556 TP80944038 SS09338938 QR69035551 RP07279414
EC44826201,QP76364848 QR69035551 QQ98319209 SX49306291 QU48058369 RU49322104
GI4722612,QT88068589 RV52552299 RR62994085 RR12943097 UU9618821 QT0337530
CJ75408825,SU09100603 QU2418051 TR03627753 VQ186519 YU0466784 RS52676247
IC6927178,RU29072432 QV00413013 YU5398943 QQ10543265 QV89486051 RR1202458 QU17488130 RS73204206 QS71024414 SV48914854
CG86965763,QQ11902281 YT0261225 RQ03350077 SU46861867 QS35898508 RW01293208
DA24528036,RQ19976630 TP60350890 QT97894009 UX5151978 QX60786983 RP38082048
BF67057770,YQ5403718 YX978060 ST77891691 TP82601014 QT48086840 QW76393554 RS72725650 XT3570927 QQ33385189 RS07150378 XP2067141
BJ67689783,QV66413374 XV1455380 QQ34231092 RX60014925 SS30051251 RR74349979 TR49979866 RV53321720 SV29495507 RW79174239 TQ70145082 WS1289734
CI25444746,YU2519340 QY02753965 RV8233790 QR03717384 RQ49464820 RP07279414
CD17630684,RX03195749 RX89060532 ST69813488 QT30108025 TQ42633382 SW79243813
EA91804141,QT16418718 QR72700922 RX14929505 QX11021363 SU26046417 ST67552102
BA22813953,RR86155514 RS54857659 QU75588609 RP35908534
DI87899389,YU5398943 XV1118590 QV00413013 RU29072432 QW53679456 RS55400133
BH42267789,RX23343043 RS6468864 QS70289455 RR32765899 RU67184413
CH23711433,YU5398943 RU29072432 QU32377761 QS90707377 RW74259276 RQ28371414
EB01519751,QS47542349 XV2976415 SX28664529 TQ40663220 TR58442948 XY7667289 TR7097190 RX03416473 RQ14066448 SX01433102 XY3326926 VX8225431 VQ5488222
CG89941153,QV01916220 QT49135207 SV37523569 SU65166403 SP83830288 TR83510412
CH26466130,QV97930615 RU29072432 YU5398943 QU32377761 QS90707377 SV32072502
DJ37992703,QY14791953 YQ5403718 RX03195749 QP36961928 QY6335814 TQ40154751
CD61587577,QP64676677 TU299662 QV09864127 SP37717443 RQ64122730 VP1724573
CI67397699,QP76364848 SW76957253 SX49306291 RV8233790 QR69035551 RP07279414
DD53825628,RW88558897 SS76874101 SS47318178 WU1257786 XP3416244 QV99561506
DD29238167,QX82674933 ST29610508 TP1945277 QW59424406 SS23634350 SQ36211868
DJ70062925,SR56009463 QR41270051 RT48320909 YQ4641836 RV42068464
BE32546106,QP76364848 QR69035551 RV8233790 RW29267396 QT65929077 QY02753965
FA4326263,RT71195693 SS20505228 WT5914541 RY20431298 SW90866767
CD86208218,QW53430045 RR37225061 RU79915587 RV1877241 VT6922507 QX155167
CD13021179,SR11591366 SV17812300 SQ23256869 TP477420 QW41634425 XY2230242
CF43824082,TQ6330287 QW19075410 RS90991047 RT53174300 RV91215697 QW52607782 QW52177173 VT2644408 VW9023125
JD8766697,YU5398943 QV00413013 XV1118590 RU29072432 SY85899647 RW14222740
CA07776821,RP72654397 RQ70142135 SQ74177804 SR36979875 QR13255557 ST02377961
CB24468398,RU29072432 YU5398943 XV1118590 SW35036412 SX05108320 QR81108322
BC10507520,YV8466974 QT73914288 RX25386316 QT07744396 SR41864350 SQ24721005
DB29779187,XT3844488 RQ83849299 VQ7316572 SQ63090701 TQ82255726 QU96190412
CE21584601,QP76364848 RQ49464820 QY02753965 QR03717384 QR69035551 RP07279414
JC5496510,TR32519602 QQ16367368 QU97380017 WY9782433 RT28145712 XR3015621
CE77144867,TQ05510328 QR69035551 RS6468864 QV60158596 QX55529308 QR62111436
GB1059554,QR22992905 XY7667289 SS29773282 SX12153136 QT41699239 RX99306830
CG50571118,QW84460521 RR14433187 QP31615077 TR59324970 WU326416
CJ3887296,SV01196821 QQ96882187 ST80624055 QR55629030 RQ75450462 RR79603197
BI82928667,UU3125617 RR19144892 QW59571467 RX96431832 RV10561518 SX18612808
CE2737714,QP61411905 QT86375750 VP1922837 RV95404171 QQ00158098 TR19250662
IF1286067,SW70815990 RY12359758 QS82852410 QS40479010 SP00227659 VX8975255
EA40113414,XR1546192 QQ62270076 UU3678266 QW41634425 TQ98698180 RT15873572
DE49620252,YS9563341 RV33693246 RS98301447 RT645215 RU05798415 XP7006174
CE13089165,RY78630628 RR51273418 QQ46909088 TQ68094163 QS74817425 SX61842266
CH54172608,QU48928340 QP68825763 QS81165425 SY03656386 SR42166240 QQ96882187
BC79721997,WU3115138 QW76797476 SY22480541 TP02702641 SS12315763 QP65213296
JJ5064362,SS31390995 RT76622244 QS34367841 QU63973355 TQ25754193 VU6688286
